"","name","team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y","minute"
"3407","Stephen Curry","Golden State Warriors","11/18/16",2016,1,3,2,"shot_no","Jump Shot","3PT Field Goal",25,"Boston Celtics",138,218,9
"3408","Stephen Curry","Golden State Warriors","1/4/17",2016,2,3,42,"shot_no","Jump Shot","2PT Field Goal",20,"Portland Trail Blazers",37,200,21
"3409","Stephen Curry","Golden State Warriors","11/18/16",2016,4,6,18,"shot_no","Jump Shot","3PT Field Goal",23,"Boston Celtics",235,21,42
"3410","Stephen Curry","Golden State Warriors","11/18/16",2016,1,2,0,"shot_no","Jump Shot","3PT Field Goal",25,"Boston Celtics",135,218,10
"3411","Stephen Curry","Golden State Warriors","11/18/16",2016,2,0,0,"shot_no","Jump Shot","3PT Field Goal",43,"Boston Celtics",-181,395,24
"3412","Stephen Curry","Golden State Warriors","11/18/16",2016,3,1,46,"shot_no","Jump Shot","3PT Field Goal",28,"Boston Celtics",-204,193,35
"3413","Stephen Curry","Golden State Warriors","11/18/16",2016,4,0,12,"shot_no","Jump Shot","3PT Field Goal",30,"Boston Celtics",89,287,48
"3414","Stephen Curry","Golden State Warriors","11/18/16",2016,4,6,55,"shot_no","Jump Shot","2PT Field Goal",19,"Boston Celtics",-102,170,42
"3415","Stephen Curry","Golden State Warriors","11/18/16",2016,1,2,39,"shot_no","Jump Shot","2PT Field Goal",14,"Boston Celtics",-145,18,10
"3416","Stephen Curry","Golden State Warriors","1/4/17",2016,3,3,40,"shot_yes","Jump Shot","3PT Field Goal",23,"Portland Trail Blazers",228,46,33
"3417","Stephen Curry","Golden State Warriors","1/4/17",2016,3,3,46,"shot_no","Jump Shot","3PT Field Goal",22,"Portland Trail Blazers",223,21,33
"3418","Stephen Curry","Golden State Warriors","1/4/17",2016,1,0,55,"shot_no","Jump Shot","3PT Field Goal",26,"Portland Trail Blazers",-109,244,12
"3419","Stephen Curry","Golden State Warriors","1/4/17",2016,1,0,0,"shot_no","Jump Shot","3PT Field Goal",71,"Portland Trail Blazers",140,704,12
"3420","Stephen Curry","Golden State Warriors","1/4/17",2016,3,2,1,"shot_yes","Jump Shot","2PT Field Goal",9,"Portland Trail Blazers",-11,97,34
"3421","Stephen Curry","Golden State Warriors","11/28/16",2016,4,0,56,"shot_no","Jump Shot","3PT Field Goal",26,"Atlanta Hawks",25,264,48
"3422","Stephen Curry","Golden State Warriors","11/28/16",2016,4,0,20,"shot_no","Jump Shot","3PT Field Goal",26,"Atlanta Hawks",-104,249,48
"3423","Stephen Curry","Golden State Warriors","1/4/17",2016,1,8,55,"shot_no","Jump Shot","3PT Field Goal",28,"Portland Trail Blazers",22,282,4
"3424","Stephen Curry","Golden State Warriors","1/4/17",2016,4,5,11,"shot_yes","Jump Shot","2PT Field Goal",12,"Portland Trail Blazers",1,129,43
"3425","Stephen Curry","Golden State Warriors","1/4/17",2016,4,4,9,"shot_no","Jump Shot","3PT Field Goal",28,"Portland Trail Blazers",-7,282,44
"3426","Stephen Curry","Golden State Warriors","1/4/17",2016,4,3,9,"shot_yes","Jump Shot","3PT Field Goal",22,"Portland Trail Blazers",228,28,45
"3427","Stephen Curry","Golden State Warriors","1/4/17",2016,1,11,22,"shot_yes","Jump Shot","3PT Field Goal",25,"Portland Trail Blazers",-29,252,1
"3428","Stephen Curry","Golden State Warriors","1/4/17",2016,2,1,1,"shot_no","Jump Shot","3PT Field Goal",26,"Portland Trail Blazers",-119,239,23
"3429","Stephen Curry","Golden State Warriors","1/4/17",2016,2,0,59,"shot_no","Jump Shot","3PT Field Goal",26,"Portland Trail Blazers",-142,219,24
"3430","Stephen Curry","Golden State Warriors","1/4/17",2016,3,8,41,"shot_yes","Jump Shot","3PT Field Goal",29,"Portland Trail Blazers",148,254,28
